Clip,L1 Loss,L2 Loss,SNR (dB)
33590,4.116971,26.463539,19.75
33591,3.939254,23.765202,20.27
33592,4.083529,27.665354,19.64
33593,4.125236,27.813349,19.61
33594,3.641903,23.024950,20.37
33595,3.197096,16.099401,21.87
33596,3.391502,18.317417,21.48
33597,3.547429,20.793608,21.10
33598,3.741565,21.673309,20.97
33599,3.235510,16.201698,22.11
33600,3.283738,17.401518,21.49
33601,2.994377,14.416929,21.90
33602,2.992571,14.483743,21.72
33603,2.768161,12.874570,22.48
33604,2.887476,14.299783,22.48
33605,2.774159,13.391698,23.15
33606,2.704828,12.185622,23.77
33607,3.108408,15.236390,22.76
33608,3.244931,16.241909,22.15
33609,3.101093,16.343906,21.59
33610,3.002463,14.251183,21.64
33611,2.864845,13.674187,21.56
33612,3.060422,15.798519,21.08
33613,2.716148,11.706265,22.67
33614,2.920586,13.693701,22.30
33615,3.278177,18.193279,21.41
33616,2.944928,16.155027,22.20
33617,2.802034,13.896826,23.03
33618,2.873541,14.856500,22.89
33619,2.892274,14.934221,22.99
33620,3.029581,16.152094,22.63
33621,2.868125,13.844328,23.19
33622,2.685786,11.144184,24.03
33623,2.987315,14.049055,22.93
33624,3.153185,17.011234,21.95
33625,3.512306,20.732435,21.01
33626,3.318362,18.901442,21.35
33627,3.253928,18.739492,21.19
33628,3.298451,20.005157,20.59
33629,3.880541,27.441599,18.96
33630,3.651252,22.888254,19.52
33631,3.732026,22.729408,19.46
33632,4.095247,27.896475,18.77
33633,3.721741,23.893745,19.68
33634,2.993156,14.783633,22.30
33635,3.012308,15.232461,22.23
33636,3.244287,16.862417,21.78
33637,3.151736,17.386366,21.49
33638,3.030669,14.924641,21.88
33639,3.079347,15.127548,21.58
33640,3.403689,18.481813,20.56
33641,3.099459,15.672887,21.32
33642,2.790864,12.563560,22.48
33643,2.791356,13.099585,22.53
33644,2.766614,12.857397,22.71
33645,3.103637,15.851403,21.76
33646,3.546916,19.678606,20.58
33647,3.369243,18.467760,20.45
33648,3.324946,18.031366,20.18
33649,3.437583,18.388727,19.97
33650,3.382852,18.308811,20.06
33651,3.267075,17.176872,20.46
33652,3.422606,18.988293,20.16
33653,3.362875,19.007612,20.29
33654,2.971744,14.796113,21.42
33655,2.707726,12.225200,22.24
33656,2.825533,13.219323,21.88
33657,2.988301,15.818599,21.01
33658,3.212050,17.512243,20.36
33659,3.233829,17.436644,20.17
33660,3.260175,16.464006,20.22
33661,3.313981,18.224743,19.80
33662,3.337976,17.676037,20.34
33663,3.408002,19.286312,20.48
33664,3.342611,18.638777,21.03
33665,3.612502,20.913549,20.76
33666,3.142161,16.677414,21.75
33667,2.965488,14.050099,22.28
33668,2.560680,11.381703,22.87
33669,2.660558,11.784141,22.54
33670,2.969137,14.465569,21.81
33671,3.169077,15.605761,21.79
33672,3.466237,18.546093,21.24
33673,3.341145,17.278013,21.62
33674,3.034693,13.740385,22.56
33675,2.738628,11.656276,23.07
33676,2.850853,13.610847,22.18
33677,3.058084,14.420368,21.87
33678,3.328005,17.227310,21.12
33679,3.058176,15.751367,21.50
33680,2.830549,12.674718,22.36
33681,2.218806,8.402019,24.05
33682,2.851775,13.978784,21.86
33683,3.371624,18.252604,20.79
33684,3.184872,16.497955,21.29
33685,3.373171,18.572939,20.81
33686,2.947768,15.173894,21.68
33687,2.978969,14.421697,21.84
33688,2.777637,12.412328,22.58
33689,3.292756,16.662241,21.49
33690,3.203708,16.180847,21.70
33691,3.432200,18.438278,21.12
33692,3.232245,17.655460,21.18
33693,2.342001,9.414167,23.75
33694,3.438056,18.241547,20.83
33695,3.772457,23.216217,19.94
33696,3.677617,21.797188,20.38
33697,3.399523,18.147430,21.30
33698,3.368593,17.882555,21.38
33699,3.481591,18.296291,21.33
33700,3.892890,22.709124,20.51
33701,3.661514,20.476332,21.04
33702,3.001327,13.772074,22.76
33703,3.413373,17.654703,21.66
33704,3.575098,20.874428,20.79
33705,2.624913,10.675481,23.48
33706,2.792133,11.681636,23.04
33707,2.648288,11.034927,23.38
33708,3.008250,14.857610,22.17
33709,3.175997,16.252666,21.80
33710,3.152719,15.602671,21.97
33711,2.624638,11.332800,23.40
33712,2.838289,12.863314,23.04
33713,3.236305,16.804586,22.01
33714,3.131092,16.213547,22.27
33715,3.187459,17.485630,22.04
33716,3.327956,21.290606,21.23
33717,2.784771,12.597865,23.45
33718,3.140706,15.846069,22.46
33719,3.223674,16.404806,22.32
33720,3.069759,15.802499,22.46
33721,2.815855,13.187666,23.21
33722,3.074289,14.615641,22.78
33723,3.135989,15.642451,22.60
33724,3.314940,18.739414,21.96
33725,3.211373,17.710558,22.36
33726,2.752792,12.878016,23.93
33727,2.806382,12.555988,24.26
33728,2.655281,11.743980,24.76
33729,2.465301,10.346965,25.48
33730,2.838693,12.705493,24.73
33731,2.570684,11.132277,25.40
33732,2.089855,7.039495,27.41
33733,2.180235,7.825185,27.00
33734,2.746400,12.143699,25.19
33735,3.007438,14.853129,24.34
33736,3.127884,16.618847,23.73
33737,3.505140,22.018076,22.14
33738,3.768431,24.964003,20.99
33739,4.098559,27.118925,19.88
33740,4.301475,31.043657,18.62
33741,3.819490,21.633701,19.73
33742,3.390921,18.486485,20.27
33743,3.267672,16.204340,20.88
33744,3.356753,17.138838,20.63
33745,3.594530,19.980526,19.84
33746,3.220746,18.621525,19.94
33747,3.241287,18.181028,19.86
33748,3.149191,15.985266,20.24
33749,3.140743,16.250872,20.04
33750,3.441819,19.436543,19.14
33751,3.619161,21.132921,18.67
33752,3.809710,24.085365,18.09
33753,3.720417,23.784786,18.33
33754,3.377788,18.165182,19.71
33755,3.401650,18.728443,19.75
33756,3.503460,19.955954,19.63
33757,3.014645,15.253182,20.97
33758,2.901088,13.360684,21.73
33759,3.124934,15.692013,21.42
33760,3.618467,20.577501,20.55
33761,3.691767,21.646854,20.45
33762,4.140117,27.611542,19.33
33763,4.522758,31.694941,18.58
33764,3.731163,21.839878,20.04
